,body,face,hats,shirt,tier
133,blue cat skin,mummy,sunhat white,gown purple,classy_1
134,blue cat skin,angry,apple,knight leather,wild_1
135,blue cat skin,unamused,afro black,tshirt white,wild_1
136,blue cat skin,dizzy,goggles seaweed,overalls red,classy_1
137,blue cat skin,derp,mohawk purple,labcoat,cool_2
138,blue cat skin,owo,dutch,bandana purple,wild_1
139,blue cat skin,shocked,sunhat black,baseball blue,wild_1
140,blue cat skin,three eyes,hat visor yellow,shirt white,cool_2
141,blue cat skin,beard tan,beanie orange,tanktop orange,cool_1
142,blue cat skin,angry cute,beret red,buttondown green,cool_1
143,blue cat skin,mummy,arrowhead,buttondown blue flannel,cool_2
144,blue cat skin,glasses funny,antlers,work blue,cool_2
145,blue cat skin,sunglasses heart,cupcake,tanktop pink,wild_1
146,blue cat skin,pixel,unicorn horn,tshirt pink,cool_2
147,blue cat skin,owo,mullet blonde,buttondown blue flannel,cool_2
148,blue cat skin,angry,mohawk purple,work red,cool_1
149,blue cat skin,angry scar,beanie orange,work blue,cool_2
150,blue cat skin,unamused,tvhead white,astro orange,exotic_1
151,blue cat skin,glasses funny,mohawk green,sweater orange,cool_2
152,blue cat skin,glasses,antlers,tshirt pink,cool_1
153,blue cat skin,wink,ninja blue,buttondown green,cool_2
154,blue cat skin,beard pirate,prince,costume hotdog,exotic_1
155,blue cat skin,glossy,halo fire,robe king,exotic_1
156,blue cat skin,glasses funny,headband red,buttondown blue flannel,cool_2
157,blue cat skin,owo,candle,hoodie purple,cool_1
158,blue cat skin,tired,wreath,bandana red,cool_1
159,blue cat skin,sunglasses cool,mohawk green,bandana green,cool_1
160,blue cat skin,angry cute,beret green,monk,wild_2
161,blue cat skin,happy,apple,buttondown blue flannel,cool_1
162,blue cat skin,beard pirate,mohawk purple,buttondown black flannel,cool_2
163,blue cat skin,happy cute,headband red,bandana red,cool_1
164,blue cat skin,angry,beanie red,tanktop tattoo,cool_2
165,blue cat skin,beard pirate,bucket hat tan,work red,cool_2
166,blue cat skin,mummy,flower red,gown white,wild_2
167,blue cat skin,tired,hat white,tanktop white,cool_1
168,blue cat skin,uwu,ninja red,bandana red,cool_2
